instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange,clean_symbol
NSE_EQ|INE383A01012,1515,INDIACEM,THE INDIA CEMENTS LIMITED,442.35,,,0.05,1.0,EQUITY,,NSE_EQ,INDIACEM
NSE_EQ|INE012A01025,22,ACC,ACC LIMITED,1637.1,,,0.1,1.0,EQUITY,,NSE_EQ,ACC
NSE_EQ|INE0NNS01018,14180,NSLNISP,NMDC STEEL LIMITED,40.36,,,0.01,1.0,EQUITY,,NSE_EQ,NSLNISP
NSE_EQ|INE944F01028,10990,RADICO,RADICO KHAITAN LTD,2789.4,,,0.1,1.0,EQUITY,,NSE_EQ,RADICO
NSE_EQ|INE572E01012,18908,PNBHOUSING,PNB HOUSING FIN LTD.,836.05,,,0.05,1.0,EQUITY,,NSE_EQ,PNBHOUSING
NSE_EQ|INE281B01032,17313,LLOYDSME,LLOYDS METALS N ENERGY L,1190.4,,,0.1,1.0,EQUITY,,NSE_EQ,LLOYDSME
NSE_EQ|INE050A01025,380,BBTC,BOMBAY BURMAH TRADING COR,1791.9,,,0.1,1.0,EQUITY,,NSE_EQ,BBTC
NSE_EQ|INE095A01012,5258,INDUSINDBK,INDUSIND BANK LIMITED,926.05,,,0.05,1.0,EQUITY,,NSE_EQ,INDUSINDBK
NSE_EQ|INE09N301011,13750,FLUOROCHEM,GUJARAT FLUOROCHEM LTD,3398.0,,,0.1,1.0,EQUITY,,NSE_EQ,FLUOROCHEM
NSE_EQ|INE513A01022,1011,SCHAEFFLER,SCHAEFFLER INDIA LIMITED,3772.1,,,0.1,1.0,EQUITY,,NSE_EQ,SCHAEFFLER
NSE_EQ|INE562A01011,14309,INDIANB,INDIAN BANK,873.7,,,0.05,1.0,EQUITY,,NSE_EQ,INDIANB
NSE_EQ|INE780C01023,13637,JMFINANCIL,JM FINANCIAL LIMITED,136.5,,,0.01,1.0,EQUITY,,NSE_EQ,JMFINANCIL
NSE_EQ|INE195A01028,3363,SUPREMEIND,SUPREME INDUSTRIES LTD,3774.9,,,0.1,1.0,EQUITY,,NSE_EQ,SUPREMEIND
NSE_EQ|INE049B01025,7506,WOCKPHARMA,WOCKHARDT LIMITED,1394.8,,,0.1,1.0,EQUITY,,NSE_EQ,WOCKPHARMA
NSE_EQ|INE483A01010,14894,CENTRALBK,CENTRAL BANK OF INDIA,36.88,,,0.01,1.0,EQUITY,,NSE_EQ,CENTRALBK
NSE_EQ|INE136B01020,5748,CYIENT,CYIENT LIMITED,995.2,,,0.1,1.0,EQUITY,,NSE_EQ,CYIENT
NSE_EQ|INE043W01024,5585,VIJAYA,VIJAYA DIAGNOSTIC CEN LTD,988.05,,,0.05,1.0,EQUITY,,NSE_EQ,VIJAYA
NSE_EQ|INE209L01016,20224,JWL,JUPITER WAGONS LIMITED,293.75,,,0.05,1.0,EQUITY,,NSE_EQ,JWL
NSE_EQ|INE168A01041,5633,J&KBANK,J & K BANK LTD.,101.74,,,0.01,1.0,EQUITY,,NSE_EQ,J&KBANK
NSE_EQ|INE118H01025,19585,BSE,BSE LIMITED,3025.3,,,0.1,1.0,EQUITY,,NSE_EQ,BSE
NSE_EQ|INE364U01010,3563,ADANIGREEN,ADANI GREEN ENERGY LTD,950.5,,,0.05,1.0,EQUITY,,NSE_EQ,ADANIGREEN
NSE_EQ|INE101I01011,25977,AFCONS,AFCONS INFRASTRUCTURE LTD,332.25,,,0.05,1.0,EQUITY,,NSE_EQ,AFCONS
NSE_EQ|INE238A01034,5900,AXISBANK,AXIS BANK LIMITED,1332.3,,,0.1,1.0,EQUITY,,NSE_EQ,AXISBANK
NSE_EQ|INE065X01017,23693,INDGN,INDEGENE LIMITED,474.7,,,0.05,1.0,EQUITY,,NSE_EQ,INDGN
NSE_EQ|INE044A01036,3351,SUNPHARMA,SUN PHARMACEUTICAL IND L,1697.5,,,0.1,1.0,EQUITY,,NSE_EQ,SUNPHARMA
NSE_EQ|INE379A01028,29251,ITCHOTELS,ITC HOTELS LIMITED,180.13,,,0.01,1.0,EQUITY,,NSE_EQ,ITCHOTELS
NSE_EQ|INE177H01039,13409,GPIL,GODAWARI POW & ISP LTD,258.65,,,0.01,1.0,EQUITY,,NSE_EQ,GPIL
NSE_EQ|INE470A01017,474,3MINDIA,3M INDIA LIMITED,35115.0,,,5.0,1.0,EQUITY,,NSE_EQ,3MINDIA
NSE_EQ|INE338I01027,14947,MOTILALOFS,MOTILAL OSWAL FIN LTD,784.55,,,0.05,1.0,EQUITY,,NSE_EQ,MOTILALOFS
NSE_EQ|INE935N01020,21690,DIXON,DIXON TECHNO (INDIA) LTD,11417.0,,,1.0,1.0,EQUITY,,NSE_EQ,DIXON
NSE_EQ|INE002L01015,18883,SJVN,SJVN LTD,76.67,,,0.01,1.0,EQUITY,,NSE_EQ,SJVN
NSE_EQ|INE038A01020,1363,HINDALCO,HINDALCO  INDUSTRIES  LTD,909.0,,,0.05,1.0,EQUITY,,NSE_EQ,HINDALCO
NSE_EQ|INE031A01017,20825,HUDCO,HSG & URBAN DEV CORPN LTD,195.77,,,0.01,1.0,EQUITY,,NSE_EQ,HUDCO
